امنیت پایگاه  داده	ردیف	شرح ویژگی	درصد اجرا	مرتبه اجرا	توضیحات 
	86	"در راستاي مديريت كليد‌هاي رمزنگاري داده‌هاي پايگاه داده، مي‌بايست از استانداردهاي رمزنگاري سازمان تبعيت نمود. به‌عنوان مثال براي رمزنگاري كليد عمومي مي‌بايست از زيرساخت كليد عمومي مورد تأييد سازمان، استفاده نمود. همچنين استفاده از توكن‌هاي هوشمند براي نگهداري كليدهاي خصوصي توصيه مي‌شود. لازم به تذكر است از كليدهاي توليد شده توسط DBMSاي خاص نمي‌بايست استفاده نمود."			
	87	"مبتني بر تحليل حساسيت اطلاعات پايگاه داده كه در مستند طرح امنيتي پايگاه داده مي‌بايست بررسي شود، بايد تعيين نمود كه آيا رمزنگاري براي كل ترافيك پايگاه داده در شبكه مورد نياز است يا خير، در صورت جواب آري مي‌بايست با استفاده از مكانيزم‌هاي رمزنگاري كه DBMS فراهم مي‌نمايد، اطلاعات در حال انتقال رمز شوند."			
	88	"قابليت ژورنالينگ پايگاه داده‌ها به‌طور پيش فرض در اكثر DBMSها فعال است، با اين‌حال از فعال بودن اين قابليت مي‌بايست اطمينان حاصل نمود."			
	89	"لازم است كه سطوح امنيتي DBMS‌هايي كه باهم ارتباط دارند را بررسي نمود و در صورتي كه در سطوح طبقه‌بندي متفاوت هستند با طراحي مجدد برنامه كاربردي، ارتباط بين DBMSها را حذف يا محدود نمود. همچنين در بررسي ارتباط‌ها، مي‌بايست لينك‌ها و دسترسي‌هاي از راه دور به پايگاه داده را نيز لحاظ نمود."			
	90	مي‌بايست قابليت مميزي را براي تغيير برچسب‌گذاري فعال نمود.			
	91	"مي‌بايست پيكربندي امنيتي سيستم عامل و سرويس‌هاي كه روي آن نصب شده‌اند براساس سياست‌هاي امنيتي و راهنماهاي سازمان، اعمال شوند."			
	92	"مي‌بايست از فايل‌هاي رويدادنامه مميزي، نسخه پشتيبان تهيه نمود و در محلي امن نگهداري كرد."			
	93	"مي‌بايست، يك هشدار امنيتي به صورت يك banner در ابتداي برنامه‌هاي كاربردي نمايش داده يا اطلاع رساني از طريق ابلاغ بخش‌نامه جهت سياست‌هاي امنيتي پايگاه داده مربوطه انجام شود."			
	94	"كاربران نمي‌بايست به‌صورت مستقيم به پايگاه داده متصل شوند و مي‌بايست يك فايروال در مسير دسترسي وجود داشته باشد. در صورتي كه پايگاه داده مي‌بايست در يك شبكه عمومي از قبيل اينترنت در دسترس باشد، مي بايست پايگاه داده را در ناحيه DMZ قرار داد در غير اين صورت مي‌بايست در ناحيه جداگانه‌اي قرار داد."			
	95	مي‌بايست نسخه پشتيبان از نرم‌افزار DBMS و تمامي برنامه‌هاي كاربردي مرتبط با پايگاه داده تهيه شود تا در زمان بروز حادثه از آن‌ها استفاده نمود.			
	96	استفاده از نامي با كيفيت و با محتوا براي سرور پايگاه داده و استفاده از نام كامل آن در تمامي اتصال‌‌هايي كه به پايگاه داده تعريف مي‌شوند.			
	97	"مي‌بايست روشي براي پايش امتيازهاي دسترسي توسعه‌دهندگان پايگاه داده پياده‌سازي نمود. همچنين براي مديريت بهتر امتياز دسترسي توسعه‌دهندگان، مي‌بايست نقش‌هايي با درنظر گرفتن حداقل امتياز دسترسي در پايگاه‌داده و سيستم عامل ميزبان با عنوان developers ايجاد نمود و حساب‌هاي كاربري توسعه‌دهندگان را عضو اين نقش‌ها نمود."			
	98	"تا جايي كه ممكن است مي‌بايست از مديريت از راه دور پايگاه داده، خودداري نمود. در صورت لزوم استفاده، ملاحظات زير مي بايست بكارگرفته شوند:
- پيكربندي DBMS براي رمزنگاري ترافيك اين اتصال از راه دور
- پايش مديران پايگاه داده كه مجوز دسترسي از اين طريق را دارا مي‌باشند
- استفاده از پورتي اختصاصي براي اتصال از راه دور"			
